Date,U.S. Natural Gas Gross Withdrawals (MMcf),Alaska Natural Gas Gross Withdrawals (MMcf),Arkansas Natural Gas Gross Withdrawals (MMcf),California Natural Gas Gross Withdrawals (MMcf),Colorado Natural Gas Gross Withdrawals (MMcf),Federal Offshore--Gulf of Mexico Natural Gas Gross Withdrawals (MMcf),Kansas Natural Gas Gross Withdrawals (MMcf),Louisiana Natural Gas Gross Withdrawals (MMcf),Montana Natural Gas Gross Withdrawals (MMcf),New Mexico Natural Gas Gross Withdrawals (MMcf),North Dakota Natural Gas Gross Withdrawals (MMcf),Ohio Natural Gas Gross Withdrawals (MMcf),Oklahoma Natural Gas Gross Withdrawals (MMcf),Pennsylvania Natural Gas Gross Withdrawals (MMcf),Texas Natural Gas Gross Withdrawals (MMcf),Utah Natural Gas Gross Withdrawals (MMcf),West Virginia Natural Gas Gross Withdrawals (MMcf),Wyoming Natural Gas Gross Withdrawals (MMcf)
01/01/1996,2049073,301376,18900,30585,49685,,63226,440515,4542,145243,4748,10578,143693,11975,591346,25848,15059,96026
01/02/1996,1937875,285293,18334,32408,46512,,62932,415699,4310,135363,4307,9447,139115,10694,557318,23523,14439,89928
01/03/1996,2051442,302965,20252,34454,48779,,63277,449686,4483,147918,4643,10179,131701,11523,600145,24135,14577,95032
01/04/1996,2000697,276137,18186,33677,46246,,61100,439158,4144,142006,4541,9762,147949,11051,574777,23060,13581,91283
01/05/1996,2022455,253591,17518,33599,47900,,62441,454603,4295,148834,4757,9832,149425,11130,603819,23810,13732,89066
01/06/1996,1959001,262958,17606,32733,46151,,56542,438611,3530,141155,4542,9435,143675,10681,578686,22613,13887,80609
01/07/1996,2007073,256519,18100,34174,46549,,57322,453464,3673,134102,4622,9581,146451,10847,602948,22433,13606,92427
01/08/1996,2025372,267370,18430,33866,52240,,55363,458064,4116,136002,4714,9584,148463,10850,598966,23031,14046,92084
01/09/1996,1966704,272968,18695,32879,46296,,55784,443910,4237,130724,4740,9450,143302,10698,576586,22981,13934,87556
01/10/1996,2030248,296292,18930,33999,51394,,57819,439902,4744,132363,4819,10293,150322,11652,594202,23541,14406,91981
01/11/1996,2008920,292599,19895,33437,50936,,58692,448707,4593,133227,4658,10312,146828,11674,572473,23295,13474,90730
01/12/1996,2054700,305514,19600,34199,51328,,61133,469079,5001,137741,4627,10799,143965,12225,576936,22938,15099,93827
01/01/1997,2080127,301992,19915,32765,53471,432713,60361,134821,4727,148541,4297,10311,144608,7096,491269,24341,15274,95958
01/02/1997,1897202,285923,17069,29858,49142,396681,55425,121713,4516,135836,4255,9208,134455,6337,448008,21645,14645,88468
01/03/1997,2094342,303621,18342,33632,54712,438926,60261,134833,4913,151128,4754,9922,147098,6828,500813,23638,14785,98154
01/04/1997,1984535,276753,17416,32520,53181,423131,58515,126882,4722,145694,4650,9516,136246,6549,479991,20569,13775,99348
01/05/1997,2032294,254173,17196,32924,53216,435592,61828,129539,4632,149841,4847,9584,142336,6596,492955,22604,13929,97753
